UUID,TestItem,TestValue
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,-1.2116666666666667
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,2.005
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.257
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.08800000000000001
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,14
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,9
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,-0.4633333333333333
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,0.85
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.601
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.568
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_blue_Sample#1_Exit#1_Camera#1,34
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_blue_Sample#1_Exit#1_Camera#1,31
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.24166666666666667
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.2833333333333333
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.475
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.414
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_blue_Sample#1_Exit#1_Camera#1,25
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_blue_Sample#1_Exit#1_Camera#1,23
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.6933333333333334
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,0.445
