SampleID,Trial,Operator,Exposuretime(ms),Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,Angular uniformity,Spatial uniformity,CU_B,CU_G,CU_R,,,,,,,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B251.13.31,1,Zhida,30,Individual dark field calibration,IQT-HT1,Blue,0.006100432,0.007322706,0.000504644,8.256955111,1.783956951,,,,,,,,,,17.37828221,21.79255111,1.154072746,8.349775496,15.34697856,41.91727413
19B251.13.32,1,Zhida,30,Individual dark field calibration,IQT-HT1,Blue,0.007097894,0.007257878,0.000361283,15.60420304,1.772248425,,,,,,,,,,24.072406,21.6890079,1.105635976,10.52148574,23.35566596,35.67027828
19B251.13.11,1,Zhida,50,Individual dark field calibration,IQT-HT1,Blue,0.006205732,0.008567247,0.000474654,6.276555403,1.701092716,,,,,,,,,,15.43391251,17.99608522,1.193020926,8.003171341,18.11472243,78.31800851
19B251.13.12,1,Zhida,50,Individual dark field calibration,IQT-HT1,Blue,0.007519713,0.00898523,0.000322716,10.12283202,1.640535737,,,,,,,,,,21.83202592,21.54872445,1.177585364,10.60545174,27.6918383,78.01615735
19B251.13.21,1,Zhida,50,Individual dark field calibration,IQT-HT1,Blue,0.005136802,0.007183658,0.000410134,6.999088226,1.322161322,,,,,,,,,,16.65523961,16.66349953,1.109441543,6.934206705,14.54936692,36.63884739
19B251.13.22,1,Zhida,50,Individual dark field calibration,IQT-HT1,Blue,0.004817693,0.004945199,0.000338624,8.022189691,1.2210116,,,,,,,,,,22.75165216,31.18273935,1.216638584,6.489828635,13.69760112,29.08036274
19B251.13.31,1,Zhida,50,Individual dark field calibration,IQT-HT1,Blue,0.006083661,0.007271169,0.000440093,7.704476131,1.785656399,,,,,,,,,,19.74011118,25.01225436,1.209060478,9.615957928,19.09844043,122.1469037
19B251.13.32,1,Zhida,50,Individual dark field calibration,IQT-HT1,Blue,0.007094893,0.007252019,0.000303852,15.52079414,1.772765491,,,,,,,,,,26.29746938,24.98369422,1.06840023,11.69454157,28.15751831,101.8812157
19B251.13.11,1,Zhida,75,Individual dark field calibration,IQT-HT1,Blue,0.006222017,0.008554838,0.000450116,6.378912233,1.700098081,,,,,,,,,,14.82508253,18.45473194,1.257768297,8.131303645,18.61091023,138.3125306
19B251.13.12,1,Zhida,75,Individual dark field calibration,IQT-HT1,Blue,0.007517599,0.008991677,0.000299339,10.39197756,1.639708684,,,,,,,,,,23.5519614,24.6164269,1.044502622,10.90393903,28.47229646,172.0698283
19B251.13.21,1,Zhida,75,Individual dark field calibration,IQT-HT1,Blue,0.005141659,0.007161523,0.000381736,6.753613584,1.322477865,,,,,,,,,,16.43482461,16.71435593,1.140154435,7.223156198,15.5171692,58.23856402
19B251.13.22,1,Zhida,75,Individual dark field calibration,IQT-HT1,Blue,0.004815146,0.004954445,0.000313791,9.406732887,1.222112867,,,,,,,,,,22.69414575,27.97838617,1.224110611,6.742908338,15.10405243,53.25512501
19B251.13.31,1,Zhida,75,Individual dark field calibration,IQT-HT1,Blue,0.006093781,0.007278942,0.000417783,7.867146421,1.788151913,,,,,,,,,,18.22502179,22.5798573,1.208372781,9.999511333,20.53783958,516.5495319
19B251.13.32,1,Zhida,75,Individual dark field calibration,IQT-HT1,Blue,0.007102587,0.007241127,0.000282184,16.17146766,1.774881805,,,,,,,,,,24.70071329,24.37699322,1.314649454,11.91946593,29.65391754,386.3412895
19B251.13.11,1,Zhida,100,Individual dark field calibration,IQT-HT1,Blue,0.006214982,0.008549908,0.000441039,6.368039251,1.69987189,,,,,,,,,,15.1094752,19.116449,1.256740887,8.093577278,18.60689631,166.8042339
19B251.13.12,1,Zhida,100,Individual dark field calibration,IQT-HT1,Blue,0.007520722,0.008950597,0.000289121,10.67502872,1.641133257,,,,,,,,,,22.50600572,23.1526465,1.130432728,11.00219278,28.58684318,415.6407035
19B251.13.21,1,Zhida,100,Individual dark field calibration,IQT-HT1,Blue,0.005142047,0.007160454,0.000370337,7.069155834,1.321482263,,,,,,,,,,16.64957553,16.86567442,1.265215652,7.121747319,15.39339638,67.18685126
19B251.13.22,1,Zhida,100,Individual dark field calibration,IQT-HT1,Blue,0.00482259,0.004961055,0.000303529,9.335336766,1.222332846,,,,,,,,,,21.70627386,27.03454416,1.18753239,6.710792914,15.00281335,81.4286231
19B251.13.31,1,Zhida,100,Individual dark field calibration,IQT-HT1,Blue,0.00609346,0.007270262,0.000409175,8.008903721,1.784477629,,,,,,,,,,18.61258907,23.07915673,1.229709466,9.773182164,20.25635591,5855.88666
19B251.13.32,1,Zhida,100,Individual dark field calibration,IQT-HT1,Blue,0.007098534,0.007242161,0.000270108,16.0936274,1.77305505,,,,,,,,,,25.18705009,25.13253791,1.173332912,11.7920929,29.4813627,2033.132957
19B251.13.11,1,Zhida,30,Individual dark field and color filter calibration,IQT-HT1,Blue,0.011513558,0.011907671,0.000389145,6.445524567,1.743089878,,,,,,,,,,29.42022762,39.75881242,1.001492769,13.58701001,44.31938704,-127.5845229
19B251.13.12,1,Zhida,30,Individual dark field and color filter calibration,IQT-HT1,Blue,0.014595901,0.013097061,0.000409558,10.13956454,1.639293058,,,,,,,,,,23.89857376,23.02021498,1.073164153,9.610109818,23.4952701,34.18361849
19B251.13.21,1,Zhida,30,Individual dark field and color filter calibration,IQT-HT1,Blue,0.009998597,0.01045375,0.000506414,6.960584107,1.325317395,,,,,,,,,,15.25227792,16.14184487,1.062659235,6.118198476,12.06505526,19.12177847
19B251.13.22,1,Zhida,30,Individual dark field and color filter calibration,IQT-HT1,Blue,0.009373119,0.007238324,0.00042999,6.151987331,1.220030529,,,,,,,,,,20.98506067,22.66964899,1.179403064,5.626537219,10.57050361,14.91654841
19B251.13.31,1,Zhida,30,Individual dark field and color filter calibration,IQT-HT1,Blue,0.011844619,0.010650345,0.000546285,8.256955111,1.783956951,,,,,,,,,,17.37828221,21.79255111,1.154072746,8.349775496,15.34697856,41.91727413
19B251.13.32,1,Zhida,30,Individual dark field and color filter calibration,IQT-HT1,Blue,0.013781295,0.010556056,0.000391094,15.60420304,1.772248425,,,,,,,,,,24.072406,21.6890079,1.105635976,10.52148574,23.35566596,35.67027828
19B251.13.11,1,Zhida,50,Individual dark field and color filter calibration,IQT-HT1,Blue,0.01204907,0.012460438,0.00051382,6.276555403,1.701092716,,,,,,,,,,15.43391251,17.99608522,1.193020926,8.003171341,18.11472243,78.31800851
19B251.13.12,1,Zhida,50,Individual dark field and color filter calibration,IQT-HT1,Blue,0.014600299,0.013068365,0.000349344,10.12283202,1.640535737,,,,,,,,,,21.83202592,21.54872445,1.177585364,10.60545174,27.6918383,78.01615735
19B251.13.21,1,Zhida,50,Individual dark field and color filter calibration,IQT-HT1,Blue,0.009973632,0.01044811,0.000443976,6.999088226,1.322161322,,,,,,,,,,16.65523961,16.66349953,1.109441543,6.934206705,14.54936692,36.63884739
19B251.13.22,1,Zhida,50,Individual dark field and color filter calibration,IQT-HT1,Blue,0.009354048,0.007192433,0.000366566,8.022189691,1.2210116,,,,,,,,,,22.75165216,31.18273935,1.216638584,6.489828635,13.69760112,29.08036274
19B251.13.31,1,Zhida,50,Individual dark field and color filter calibration,IQT-HT1,Blue,0.011812056,0.010575388,0.000476407,7.704476131,1.785656399,,,,,,,,,,19.74011118,25.01225436,1.209060478,9.615957928,19.09844043,122.1469037
19B251.13.32,1,Zhida,50,Individual dark field and color filter calibration,IQT-HT1,Blue,0.013775468,0.010547535,0.000328924,15.52079414,1.772765491,,,,,,,,,,26.29746938,24.98369422,1.06840023,11.69454157,28.15751831,101.8812157
19B251.13.11,1,Zhida,75,Individual dark field and color filter calibration,IQT-HT1,Blue,0.012080689,0.01244239,0.000487258,6.378912233,1.700098081,,,,,,,,,,14.82508253,18.45473194,1.257768297,8.131303645,18.61091023,138.3125306
19B251.13.12,1,Zhida,75,Individual dark field and color filter calibration,IQT-HT1,Blue,0.014596195,0.013077741,0.000324039,10.39197756,1.639708684,,,,,,,,,,23.5519614,24.6164269,1.044502622,10.90393903,28.47229646,172.0698283
