SampleID,Date,Trial,Operator,Dicing,Color,TP_Blue,TP_Green,TP_Red,Angular uniformity,Spatial uniformity,CU_Blue,CU_Green,CU_Red,Center contrast_Blue,Center contrast_Green,Center contrast_Red,Mean contrast_Blue,Mean contrast_Green,Mean contrast_Red
19B157.01.32,8-Jan,3,M,Y,Red,0.001333,0.003916,0.005307,579.275867,3.301023,8.529782,5.546771,30.832190,2.434214,2.942069,3.847325,4.338254,4.509925,8.344635
19B157.06.11,8-Jan,3,M,Y,Red,0.001592,0.004479,0.005454,1279.170114,3.532695,7.965754,6.090827,31.604225,2.808181,3.924462,3.093893,4.501479,4.977063,10.919265
19B157.06.12,8-Jan,3,M,Y,Red,0.001446,0.004308,0.005534,358.608756,3.655266,7.528467,5.239212,25.591979,3.299815,5.026568,4.507877,5.269012,5.668309,8.859013
19B157.06.21,8-Jan,3,M,Y,Red,0.001602,0.004329,0.004107,205.578215,3.982205,8.494641,4.829593,18.087554,3.353839,5.172609,4.258704,4.364783,4.624059,5.923319
19B157.06.22,8-Jan,3,M,Y,Red,0.001895,0.004689,0.004407,215.568396,2.529356,10.416051,5.114432,18.650743,1.773397,2.373175,3.807145,3.546535,3.826405,5.804871
19B157.06.31,8-Jan,3,M,Y,Red,0.001864,0.005390,0.006426,647.133177,2.548219,10.801108,6.351272,29.556473,2.732814,3.251715,2.534176,4.971609,4.998678,9.752877
19B157.06.32,8-Jan,3,M,Y,Red,0.001696,0.004600,0.005025,915.804810,4.069561,8.239583,5.257207,31.000959,2.714188,4.032043,3.288365,4.907971,5.260289,10.998828
19B157.01.11,8-Jan,1,P,Y,Red,0.001391,0.003910,0.004751,585.814765,3.275857,7.468544,4.958347,27.396379,2.783859,3.710697,4.316212,3.889070,4.221917,6.916479
19B157.01.12,8-Jan,1,P,Y,Red,0.001325,0.003874,0.005296,495.723169,3.108692,7.666321,6.619646,25.652004,3.301009,4.212992,4.740261,5.318821,5.397473,8.225799
19B157.01.21,8-Jan,1,P,Y,Red,0.001352,0.003861,0.004604,393.281004,3.752862,6.944002,6.201497,27.993107,3.397600,4.758442,5.560550,4.829402,4.735063,7.548388
19B157.01.22,8-Jan,1,P,Y,Red,0.001245,0.003417,0.004118,231.358502,2.836507,6.851168,6.206025,20.214711,3.378155,4.491184,5.944065,4.464346,4.445663,5.623266
19B157.01.31,8-Jan,1,P,Y,Red,0.001539,0.004580,0.005948,813.345561,2.923737,10.420287,5.994715,31.350280,2.277847,3.054017,2.793798,4.545568,4.496027,9.256179
19B157.01.32,8-Jan,1,P,Y,Red,0.001365,0.003986,0.005260,693.972152,3.310933,9.081928,5.648770,28.440777,2.453755,2.951603,3.826628,4.378009,4.548568,8.489451
19B157.01.11,8-Jan,2,P,Y,Red,0.001489,0.004176,0.004760,542.774142,3.426424,9.892322,5.020464,27.364684,2.954763,3.905426,4.536519,4.130007,4.352464,7.382307
19B157.01.12,8-Jan,2,P,Y,Red,0.001390,0.004059,0.005350,460.754871,3.190503,8.347852,6.530237,23.723813,3.324184,4.176871,4.741895,5.462061,5.490937,8.173625
