SampleID,Trial,Operator,Exposure,Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,AU,SU,CU_B,CU_G,CU_R,dummy1,dummy2,dummy3,dummy4,dummy5,dummy6,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B170.12.21,3,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.003178404,0.002682448,0.000622318,77.91071833,1.748207475,,,,,,,,,,9.566866487,17.23648041,-78.19862433,7.916112939,11.2002314,246.9181008
19B170.12.22,3,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.003504031,0.003122566,0.000612524,121.3537661,1.878265125,,,,,,,,,,11.25908798,23.96895661,-1.01028137,10.746367,15.02738165,460.7479504
19B170.12.31,3,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.004167215,0.003739555,0.001004878,64.97220879,1.563508145,,,,,,,,,,11.35914095,22.43349164,3.14314098,10.77194632,12.80925422,45.99525041
19B170.12.32,3,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.00362677,0.003445376,0.000688142,145.9648461,1.437787228,,,,,,,,,,12.68379269,21.0099233,8.231353692,13.35881036,16.89633022,90.75120558
19B176.04.11,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001728941,0.004782786,0.00610899,293.0678095,3.673292498,,,,,,,,,,2.906289154,3.567452685,4.263557035,4.636198586,4.541642119,8.613662051
19B176.04.12,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001779034,0.004972905,0.006018371,282.6641675,3.645292798,,,,,,,,,,3.236459672,3.250434167,3.411951505,4.993891546,4.929459453,9.756240635
19B176.04.21,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001742308,0.004749486,0.004474634,162.9710325,2.174191473,,,,,,,,,,2.29650724,3.894519926,4.037428568,4.530454831,4.337233974,6.245173785
19B176.04.22,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001804134,0.004423243,0.003584356,182.9982519,2.139485372,,,,,,,,,,2.096728188,3.402383417,5.084630784,4.172632457,4.280184027,5.422201574
19B176.04.31,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001811083,0.005234213,0.006443472,320.8150542,3.482378873,,,,,,,,,,2.133819132,2.936842031,3.776561746,5.67543047,5.565509604,9.467583274
19B176.04.32,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001705995,0.004657079,0.004971696,200.9493889,3.469722217,,,,,,,,,,2.403399678,3.863979396,4.020006647,5.336098601,5.335631552,9.372637936
